Row ID;Row Name;baseWepId;gemId;reinforceLv
10;Longsword +6 - test gem 1;2000000;10;6;
20;Blank +6 - Lion's Claw;100000;80;6;
21;Blank +6 - Lion's Claw;100000;80;6;
22;Blank +6 - Lion's Claw;100500;85;6;
23;Blank +6 - Lion's Claw;100500;85;6;
80;Longsword +0 - Lion's Claw;2000000;80;0;
81;Heavy Longsword +0 - Lion's Claw;2000100;81;0;
82;Keen Longsword +0 - Lion's Claw;2000200;82;0;
83;Quality Longsword +0 - Lion's Claw;2000300;83;0;
84;Fire Longsword +0 - Lion's Claw;2000400;84;0;
85;Flame Art Longsword +0 - Lion's Claw;2000500;85;0;
86;Lightning Longsword +0 - Lion's Claw;2000600;86;0;
87;Sacred Longsword +0 - Lion's Claw;2000700;87;0;
88;Magic Longsword +0 - Lion's Claw;2000800;88;0;
89;Cold Longsword +0 - Lion's Claw;2000900;89;0;
90;Poison Longsword +0 - Lion's Claw;2001000;90;0;
100;Bastard Sword +0 - Lion's Claw;3000000;100;0;
101;Longsword +0 - Impaling Thrust;2000000;101;0;
102;Uchigatana +0 - Piercing Fang;9000000;102;0;
103;Longsword +0 - Spinning Slash;2000000;103;0;
104;Bastard Sword +0 - Spinning Slash;3000000;103;0;
105;Lance +0 - Charge Forth;17060000;105;0;
106;Bastard Sword +0 - Stamp (Upward Cut);3000000;106;0;
107;Greatsword +0 - Stamp (Sweep);4000000;107;0;
108;Longsword +0 - Blood Tax;2000000;108;0;
109;Longsword +0 - Repeating Thrust;2000000;109;0;
110;Battle Axe +0 - Wild Strikes;14000000;110;0;
111;Halberd +0 - Spinning Strikes;18000000;111;0;
112;Uchigatana +0 - Double Slash;9000000;112;0;
113;Prelate's Inferno Crozier +0 - Prelate's Charge;23000000;113;0;
114;Uchigatana +0 - Unsheathe;9000000;114;0;
115;Longsword +0 - Square Off;2000000;115;0;
116;Lance +0 - Giant Hunt;17060000;116;0;
117;Torch +0 - Torch Attack;24000000;117;0;
118;Twinblade +0 - Loretta's Slash;10000000;118;0;
119;Longsword +0 - Poison Moth Flight;2000000;119;0;
120;Longsword +0 - Spinning Weapon;2000000;120;0;
121;Longsword +0 -;2000000;121;0;
122;Banished Knight's Halberd +0 - Storm Assault;18030000;122;0;
123;Banished Knight's Halberd +0 - Stormcaller;18030000;123;0;
124;Longsword +0 - Glintblade Phalanx;2000000;20000;0;
125;Longsword +0 - Sacred Blade;2000000;20100;0;
126;Short Spear +0 - Ice Spear;16000000;20200;0;
127;Longsword +0 - Glintstone Pebble;2000000;20300;0;
128;Longsword +0 - Bloody Slash;2000000;128;0;
129;Caestus +0 - Lifesteal Fist;21000000;129;0;
130;Great Mace +0 - Eruption;12060000;130;0;
131;Great Mace +0 - Prayerful Strike;12060000;131;0;
132;Blank +0 - Gravitas;8000000;132;0;
133;Longsword +0 - Storm Blade;2000000;133;0;
134;Nightrider Glaive +0 - Phantom Slash;18050000;134;0;
135;Great Mace +0 - Earthshaker;12060000;135;0;
136;Great Mace +0 - Golden Land;12060000;136;0;
137;Longsword +0 - Flaming Strike;2000000;137;0;
138;Short Spear +0 - Thunderbolt;16000000;138;0;
139;Uchigatana +0 - Lightning Slash;9000000;139;0;
140;Longsword +0 - Carian Grandeur;2000000;21800;0;
141;Longsword +0 - Carian Greatsword;2000000;21900;0;
142;Longsword +0 - Vacuum Slice;2000000;22000;0;
143;Twinblade +0 - Black Flame Tornado;10000000;22100;0;
144;Short Spear +0 - Sacred Ring of Light;16000000;144;0;
145;Short Spear +0 - Spectral Lance;16000000;22600;0;
146;Kite Shield +0 - Shield Bash;31000000;146;0;
147;Kite Shield +0 - Barricade Shield;31000000;147;0;
148;Kite Shield +0 - Parry;31000000;148;0;
149;Buckler +0 - Buckler Parry;30000000;149;0;
151;Kite Shield +0 - Carian Retaliation;31000000;151;0;
152;Kite Shield +0 - Storm Wall;31000000;152;0;
153;Kite Shield +0 - Golden Parry;31000000;153;0;
154;Kite Shield +0 - Shield Crash;31000000;154;0;
155;Lion Greatbow +0 - Through and Through;42000000;155;0;
156;Longbow +0 - Barrage;41000000;156;0;
157;Longbow +0 - Mighty Shot;41000000;157;0;
158;Longbow +0 - Enchanted Shot;41000000;158;0;
159;Longbow +0 - Sky Shot;41000000;159;0;
160;Lion Greatbow +0 - Rain of Arrows;42000000;160;0;
161;Longbow +0 -;41000000;161;0;
163;Longsword +0 -;2000000;163;0;
164;Longsword +0 - Hoarfrost Stomp;2000000;164;0;
165;Longsword +0 - Storm Stomp;2000000;165;0;
166;Longsword +0 - Kick;2000000;166;0;
167;Longsword +0 - Lightning Ram;2000000;167;0;
168;Longsword +0 - Flame of the Redmanes;2000000;168;0;
169;Longsword +0 - Ground Slam;2000000;169;0;
170;Longsword +0 - Golden Slam;2000000;170;0;
171;Great Mace +0 - Waves of Darkness;12060000;171;0;
172;Caestus +0 - Hoarah Loux's Earthshaker;21000000;50900;0;
173;Longsword +0 - Determination;2000000;173;0;
174;Longsword +0 - Assassin's Gambit;2000000;174;0;
175;Longsword +0 - Golden Vow;2000000;175;0;
176;Longsword +0 - Sacred Order;2000000;176;0;
177;Longsword +0 - Seppuku;2000000;177;0;
178;Greatsword +0 - Cragblade;4000000;178;0;
179;Longsword +0 - Shared Order;2000000;179;0;
180;Longsword +0 - Barbaric Roar;2000000;180;0;
181;Longsword +0 - Beast's Roar;2000000;181;0;
182;Longsword +0 -;2000000;182;0;
183;Longsword +0 - Braggart's Roar;2000000;183;0;
184;Longsword +0 - Troll's Roar;2000000;184;0;
185;Mace +0 - Endure;11000000;185;0;
186;Kite Shield +0 - Vow of the Indomitable;31000000;186;0;
187;Kite Shield +0 - Holy Ground;31000000;187;0;
188;Great Club +0 - Endure;23020000;185;0;
189;Caestus +0 - Endure;21000000;185;0;
190;Longsword +0 - Quickstep;2000000;190;0;
191;Longsword +0 - Bloodhound's Step;2000000;191;0;
192;Longsword +0 - Raptor of the Mists;2000000;80200;0;
193;Longsword +0 - Royal Knight's Resolve;2000000;60100;0;
194;Longsword +0 - White Shadow's Lure;2000000;194;0;
197;Twinblade +0 - Spinning Slash;10000000;103;0;
198;Short Spear +0 - Spinning Slash;16000000;103;0;
199;Short Spear +0 - Loretta's Slash;16000000;118;0;
200;Short Spear +0 - Storm Assault;16000000;122;0;
201;Short Spear +0 - Stormcaller;16000000;123;0;
202;Longsword +0 - Sword Dance;2000000;195;0;
203;Bastard Sword +0 - Sword Dance;3000000;195;0;
204;Short Spear +0 - Sword Dance;16000000;195;0;
205;Torch +0 - Firebreather;24000000;196;0;
206;Longsword +0 - Blood Blade;2000000;197;0;
207;Dragon Towershield +0 - Shield Bash;32000000;146;0;
208;Buckler +0 - Shield Bash;30000000;146;0;
209;Dragon Towershield +0 - Barricade Shield;32000000;147;0;
210;Buckler +0 - Barricade Shield;30000000;147;0;
211;Buckler +0 - Parry;30000000;148;0;
212;Dagger +0 - Parry;1000000;148;0;
213;Falchion +0 - Parry;7000000;148;0;
214;Dragon Towershield +0 - Shield Crash;32000000;154;0;
215;Buckler +0 - Shield Crash;30000000;154;0;
216;Kite Shield +0 - Thops's Barrier;31000000;198;0;
217;Short Spear +0 - Determination;16000000;173;0;
218;Short Spear +0 - Black Flame Tornado;16000000;22100;0;
219;Lance +0 - Black Flame Tornado;17060000;22100;0;
220;Lucerne +0 - Black Flame Tornado;18020000;22100;0;
221;Scythe +0 - Black Flame Tornado;19000000;22100;0;
300;Hookclaws +0 - Barbaric Roar;22000000;65000;0;
301;Longsword +0 - Barbaric Roar;2000000;65000;0;
302;Twinblade +0 - Barbaric Roar;10000000;65000;0;
303;Bastard Sword +0 - Barbaric Roar;3000000;65000;0;
304;Greatsword +0 - Barbaric Roar;4000000;65000;0;
305;Falchion +0 - Barbaric Roar;7000000;65000;0;
306;Uchigatana +0 - Barbaric Roar;9000000;65000;0;
307;Battle Axe +0 - Barbaric Roar;14000000;65000;0;
308;Duelist Greataxe +0 - Barbaric Roar;23040000;65000;0;
309;Watchdog's Staff +0 - Barbaric Roar;23010000;65000;0;
310;Greataxe +0 - Barbaric Roar;15000000;65000;0;
311;Mace +0 - Barbaric Roar;11000000;65000;0;
312;Flail +0 - Barbaric Roar;13010000;65000;0;
313;Great Mace +0 - Barbaric Roar;12060000;65000;0;
314;Short Spear +0 - Barbaric Roar;16000000;65000;0;
315;Mohgwyn's Sacred Spear +0 - Barbaric Roar;17010000;65000;0;
316;Halberd +0 - Barbaric Roar;18000000;65000;0;
317;Blank +0 - Barbaric Roar;8000000;65000;0;
318;Caestus +0 - Barbaric Roar;21000000;65000;0;
319;Scythe +0 - Barbaric Roar;19000000;65000;0;
320;Hookclaws +0 - War Cry;22000000;65100;0;
321;Longsword +0 - War Cry;2000000;65100;0;
322;Twinblade +0 - War Cry;10000000;65100;0;
323;Bastard Sword +0 - War Cry;3000000;65100;0;
324;Greatsword +0 - War Cry;4000000;65100;0;
325;Falchion +0 - War Cry;7000000;65100;0;
326;Uchigatana +0 - War Cry;9000000;65100;0;
327;Battle Axe +0 - War Cry;14000000;65100;0;
328;Duelist Greataxe +0 - War Cry;23040000;65100;0;
329;Watchdog's Staff +0 - War Cry;23010000;65100;0;
330;Greataxe +0 - War Cry;15000000;65100;0;
331;Mace +0 - War Cry;11000000;65100;0;
332;Flail +0 - War Cry;13010000;65100;0;
333;Great Mace +0 - War Cry;12060000;65100;0;
334;Short Spear +0 - War Cry;16000000;65100;0;
335;Mohgwyn's Sacred Spear +0 - War Cry;17010000;65100;0;
336;Halberd +0 - War Cry;18000000;65100;0;
337;Blank +0 - War Cry;8000000;65100;0;
338;Caestus +0 - War Cry;21000000;65100;0;
339;Scythe +0 - War Cry;19000000;65100;0;
340;Bastard Sword +0 - Double Slash;3000000;112;0;
341;Banished Knight's Halberd +0 - Double Slash;18030000;112;0;
345;Bastard Sword +0 - Bloody Slash;3000000;128;0;
346;Twinblade +0 - Bloody Slash;10000000;128;0;
350;Longsword +0 - Chilling Mist;2000000;22700;0;
355;Longsword +0 - Poisonous Mist;2000000;22800;0;
360;Twinblade +0 - Ice Spear;10000000;20200;0;
365;Caestus +0 - Thunderbolt;21000000;138;0;
370;Banished Knight's Halberd +0 - Lightning Slash;18030000;139;0;
500;Scimitar +0 - Storm Blade;7140000;21000;0;
501;Spear +0 - Determination;16010000;60000;0;
502;Club +0 - Blank;11010000;0;0;
503;Rickety Shield +0 - Holy Ground;30030000;70200;0;
504;Bastard Sword +0 - Thunderbolt;3000000;21600;0;
1000;Bastard Sword +0 - Lion's Claw;3000000;1000;0;
1001;Longsword +0 - Impaling Thrust;2000000;1001;0;
1002;Longsword +0 - Spinning Slash;2000000;1002;0;
1003;Short Spear +0 -;16000000;1003;0;
1004;Flame Art Longsword +0 - Glintblade Phalanx;2000500;1004;0;
1005;Poison Longsword +0 -;2001000;1005;0;
1006;Sacred Bastard Sword +0 - Eruption;3000700;1006;0;
1007;Quality Bastard Sword +0 - Gravitas;3000300;1007;0;
1008;Quality Longsword +0 - Storm Blade;2000300;1008;0;
1009;Heavy Bastard Sword +0 - Earthshaker;3000100;1009;0;
1010;Magic Longsword +0 - Flaming Strike;2000800;1010;0;
1011;Cold Short Spear +0 - Thunderbolt;16000900;1011;0;
1012;Flame Art Longsword +0 - Carian Greatsword;2000500;1012;0;
1013;Heavy Longsword +0 - Storm Stomp;2000100;1013;0;
1014;Quality Longsword +0 - Determination;2000300;1014;0;
1015;Fire Longsword +0 - Holy Ground;2000400;1015;0;
1016;Keen Longsword +0 - Quickstep;2000200;1016;0;
1017;Keen Longsword +0 - Raptor of the Mists;2000200;1017;0;
3010;Blank +4 - No Skill;34910000;30900;4;
3040;Blank +4 - Storm Assault;17900000;12200;4;
3041;Blank +0 - No Skill;34970000;30900;0;
3042;Blank +5 - No Skill;34970000;30900;5;
3090;Spear +7 - Kick;16010000;50300;7;
3091;Blank +10 - No Skill;32900000;30900;10;
3092;Spear +0 - Kick;16010000;50300;0;
3093;Blank +0 - No Skill;32900000;30900;0;
3110;Banished Knight's Halberd +8 - Spinning Strikes;18030000;11100;8;
3111;Blank +0 - No Skill;34950000;30900;0;
3120;Flamberge +9 - Flaming Strike;3050000;21400;9;
3121;Blank +10 - No Skill;33950000;30900;10;
3122;Blank +0 - Flaming Strike;3900000;21400;0;
3123;Blank +0 - No Skill;33940000;30900;0;
3140;Hoslow's Petal Whip +3 - Kick;20050000;50300;3;
3141;Blank +10 - No Skill;32920000;30900;10;
3160;Blank +6 - No Skill;33930000;30900;6;
3180;Nagakiba +7 - Impaling Thrust;9010000;10100;7;
3181;Blank +10 - No Skill;34990000;30900;10;
3182;Uchigatana +5 - Impaling Thrust;9000000;10100;5;
3183;Blank +7 - Impaling Thrust;9930000;10100;7;
3190;Inseparable Sword +1 - Sacred Order;2090000;60400;1;
3191;Blank +10 - No Skill;34980000;30900;10;
3192;Blank +1 - Sacred Order;2092000;60400;1;
3193;Blank +10 - No Skill;34940000;30900;10;
3210;Erdsteel Dagger +10 - Sacred Order;1150000;60400;10;
3211;Blank +0 - No Skill;34940000;30900;0;
3230;Sword of Milos +10 - Blank;3160000;0;10;
3240;Blank +7 - No Skill;33950000;30900;7;
3241;Blank +8 - No Skill;34910000;30900;8;
3250;Rogier's Rapier +10 - Glintblade Phalanx;5030000;20000;10;
3251;Blank +10 - No Skill;33960000;30900;10;
3260;Blank +6 - Vacuum Slice;4900000;22000;6;
3261;Blank +10 - No Skill;34910000;30900;10;
3262;Devourer's Scepter +7 - Blank;12200000;0;7;
3270;Eleonora's Poleblade +2 - Blank;10050000;0;2;
3271;Blank +0 - No Skill;34950000;30900;0;
3290;Great epee +8 - Repeating Thrust;6020000;10900;8;
3291;Blank +10 - No Skill;33920000;30900;10;
3292;Blank +0 - Blank;6900000;0;0;
3293;Blank +0 - No Skill;33930000;30900;0;
3310;Iron Ball +7 - Braggart's Roar;21070000;65400;7;
3330;Blank +5 - No Skill;33930000;30900;5;
3340;Stormhawk Axe +4 - Blank;14140000;0;4;
3350;Scavenger's Curved Sword +10 - Beast's Roar;7080000;65200;10;
3351;Blank +10 - No Skill;34910000;30900;10;
3390;Clinging Bone +3 - Blank;21110000;0;3;
3391;Blank +6 - No Skill;33970000;30900;6;
3400;Raptor Talons +8 - Raptor of the Mists;22030000;80200;8;
3430;Reduvia +10 - Blank;1040000;0;10;
3440;Blank +8 - Ground Slam;23930000;50600;8;
3441;Blank +10 - No Skill;43900000;30900;10;
3442;Blank +0 - Ground Slam;23930000;50600;0;
3443;Blank +0 - No Skill;43900000;30900;0;
3450;Blank +6 - Gravitas;8900000;20900;6;
3460;Scorpion's Stinger +5 - Quickstep;1080000;80000;5;
3461;Crepus's Black-Key Crossbow +10 - No Skill;43110000;30900;10;
3470;Hoslow's Petal Whip +9 - Bloodhound's Step;20050000;80100;9;
3510;Flail +5 - Blank;13010000;0;5;
3511;Blank +5 - No Skill;34930000;30900;5;
3520;Blank +0 - No Skill;33940000;30900;0;
3530;Blank +6 - Wild Strikes;15900000;11000;6;
3531;Sacred Butchering Knife +6 - Wild Strikes;15120700;11000;6;
3532;Sacred Butchering Knife +7 - Prayerful Strike;15120700;20800;7;
3550;Rivers of Blood +4 - Blank;9040000;0;4;
3551;Wakizashi +10 - Quickstep;1100000;80000;10;
3552;Rivers of Blood +0 - Blank;9040000;0;0;
3553;Wakizashi +0 - Quickstep;1100000;80000;0;
3560;Flail +10 - Wild Strikes;13010000;11000;10;
3561;Blank +0 - No Skill;34920000;30900;0;
3590;Carian Knight's Sword +2 - Glintblade Phalanx;2180000;20000;2;
3591;Carian Knight's Shield +10 - Carian Retaliation;31190000;30500;10;
3592;Blank +0 - No Skill;33940000;30900;0;
3600;Godslayer's Greatsword +6 - Blank;4070000;0;6;
3610;Quality Twinblade +18 - Spinning Slash;10000300;10300;18;
3611;Iron Roundshield +18 - No Skill;30120000;30900;18;
3612;Quality Twinblade +25 - Spinning Slash;10000300;10300;25;
3613;Iron Roundshield +25 - No Skill;30120000;30900;25;
3670;Blank +7 - Seppuku;9900000;60600;7;
3671;Wakizashi +8 - No Skill;1100000;30900;8;
3680;Light Crossbow +9 - Kick;43020000;50300;9;
3681;Mace +8 - Kick;11000000;50300;8;
3682;Blank +6 - Kick;4900000;50300;6;
3683;Short Spear +6 - Kick;16000000;50300;6;
3684;Inverted Hawk Towershield +9 - No Skill;32210000;30900;9;
3690;Blank +6 - Eruption;12900000;20700;6;
3700;Blank +18 - Endure;23900000;70000;18;
3701;Blank +18 - No Skill;23910000;30900;18;
3702;Blank +25 - Endure;23900000;70000;25;
3703;Blank +25 - No Skill;23910000;30900;25;
3710;Blank +18 - Quickstep;33940000;80000;18;
3711;Heater Shield +18 - No Skill;31330000;30900;18;
3712;Blank +25 - Quickstep;33940000;80000;25;
3713;Heater Shield +25 - No Skill;31330000;30900;25;
3720;Antspur Rapier +10 - Impaling Thrust;5040000;10100;10;
3721;Blank +10 - No Skill;34940000;30900;10;
3730;Keen Misericorde +25 - Poison Moth Flight;1030200;11900;25;
3731;Buckler +25 - Parry;30000000;30200;25;
3740;Heavy Great Mace +25 - Prayerful Strike;12060100;20800;25;
3741;Banished Knight's Shield +25 - No Skill;31030000;30900;25;
3750;Magic Estoc +25 - Parry;5000800;30200;25;
3751;Albinauric Staff +25 - No Skill;33190000;30900;25;
3760;Black Knife +3 - Blank;1010000;0;3;
3761;Blank +10 - No Skill;33920000;30900;10;
3770;Blood Misericorde +10 - Blood Tax;1031100;10800;10;
3771;Blank +10 - No Skill;34910000;30900;10;
3800;Blank +6 - No Skill;33980000;30900;6;
3820;Blank +0 - No Skill;34920000;30900;0;
3821;One-Eyed Shield +10 - Blank;32150000;0;10;
3830;Torchpole +2 - Kick;16080000;50300;2;
3831;Blank +10 - No Skill;34920000;30900;10;
3840;Ghiza's Wheel +7 - Blank;23100000;0;7;
3850;Cold Scythe +7 - Sword Dance;19000900;12400;7;
3851;Staff of the Guilty +7 - No Skill;33260000;30900;7;
3860;Reduvia +10 - Blank;1040000;0;10;
3861;Blank +10 - No Skill;34940000;30900;10;
3870;Halo Scythe +3 - Blank;19020000;0;3;
3880;Blank +6 - Charge Forth;17910000;10500;6;
3890;Flowing Curved Sword +7 - Sword Dance;7060000;12400;7;
3900;Blank +7 - Blank;1190000;0;7;
3901;Blank +7 - No Skill;34940000;30900;7;
5000;Banished Knight's Halberd +8 - Spinning Strikes;18030000;11100;8;
5010;Rogier's Rapier +8 - Glintblade Phalanx;5030000;20000;8;
5020;Spear +7 - Charge Forth;16010000;10500;7;
5030;Nagakiba +0 - Piercing Fang;9010000;10200;0;
5040;Iron Ball +0 - Braggart's Roar;21070000;65400;0;
9000;Magic Ice Crest Shield +25 - Carian Retaliation;30140800;30500;25;
9001;Heavy Giant-Crusher +25 - Bloodhound's Step;23110100;80100;25;
9002;Heavy Stone Club +25 - Hoarah Loux's Earthshaker;11140100;50900;25;
9003;Heavy Greatsword +25 - Bloodhound's Step;4000100;80100;25;
9004;Quality Grossmesser +25 - Sword Dance;7150300;12400;25;
9005;Banished Knight's Quality Greatsword +25 - Storm Stomp;3080300;50200;25;
9006;Hoslow's Keen Petal Whip +25 - Bloodhound's Step;20050200;80100;25;
9007;Composite Bow +25 - Barrage;40050000;40100;25;
10001;Heavy Longsword +25 - Lion's Claw;2000100;10000;25;
10002;Heavy Bastard Sword +25 - Lion's Claw;3000100;10000;25;
10003;Heavy Greatsword +25 - Lion's Claw;4000100;10000;25;
10004;Heavy Falchion +25 - Lion's Claw;7000100;10000;25;
10005;Heavy Dismounter +25 - Lion's Claw;8020100;10000;25;
10006;Heavy Uchigatana +25 - Lion's Claw;9000100;10000;25;
10007;Heavy Twinblade +25 - Lion's Claw;10000100;10000;25;
10010;Heavy Battle Axe +25 - Lion's Claw;14000100;10000;25;
10011;Heavy Greataxe +25 - Lion's Claw;15000100;10000;25;
10012;Heavy Mace +25 - Lion's Claw;11000100;10000;25;
10013;Heavy Large Club +25 - Lion's Claw;12000100;10000;25;
10014;Heavy Nightrider Flail +25 - Lion's Claw;13000100;10000;25;
10022;Heavy Duelist Greataxe +25 - Lion's Claw;23040100;10000;25;
10050;Keen Dagger +25 - Impaling Thrust;1000200;10100;25;
10051;Keen Longsword +25 - Impaling Thrust;2000200;10100;25;
10052;Keen Bastard Sword +25 - Impaling Thrust;3000200;10100;25;
10056;Keen Uchigatana +25 - Impaling Thrust;9000200;10100;25;
10057;Keen Twinblade +25 - Impaling Thrust;10000200;10100;25;
10058;Keen Rapier +25 - Impaling Thrust;5020200;10100;25;
10059;Keen Great epee +25 - Impaling Thrust;6020200;10100;25;
10065;Keen Short Spear +25 - Impaling Thrust;16000200;10100;25;
10066;Keen Lance +25 - Impaling Thrust;17060200;10100;25;
10067;Keen Halberd +25 - Impaling Thrust;18000200;10100;25;
10101;Keen Longsword +25 - Piercing Fang;2000200;10200;25;
10102;Keen Bastard Sword +25 - Piercing Fang;3000200;10200;25;
10106;Keen Uchigatana +25 - Piercing Fang;9000200;10200;25;
10107;Keen Twinblade +25 - Piercing Fang;10000200;10200;25;
10108;Keen Rapier +25 - Piercing Fang;5020200;10200;25;
10109;Keen Great epee +25 - Piercing Fang;6020200;10200;25;
10115;Keen Short Spear +25 - Piercing Fang;16000200;10200;25;
10116;Keen Lance +25 - Piercing Fang;17060200;10200;25;
10117;Keen Halberd +25 - Piercing Fang;18000200;10200;25;
10150;Keen Dagger +25 - Spinning Slash;1000200;10300;25;
10151;Keen Longsword +25 - Spinning Slash;2000200;10300;25;
10152;Keen Bastard Sword +25 - Spinning Slash;3000200;10300;25;
10154;Keen Falchion +25 - Spinning Slash;7000200;10300;25;
10155;Keen Dismounter +25 - Spinning Slash;8020200;10300;25;
10156;Keen Uchigatana +25 - Spinning Slash;9000200;10300;25;
10157;Keen Twinblade +25 - Spinning Slash;10000200;10300;25;
10160;Keen Battle Axe +25 - Spinning Slash;14000200;10300;25;
10161;Keen Greataxe +25 - Spinning Slash;15000200;10300;25;
10165;Keen Short Spear +25 - Spinning Slash;16000200;10300;25;
10166;Keen Lance +25 - Spinning Slash;17060200;10300;25;
10167;Keen Halberd +25 - Spinning Slash;18000200;10300;25;
10168;Keen Scythe +25 - Spinning Slash;19000200;10300;25;
10207;Quality Twinblade +25 - Charge Forth;10000300;10500;25;
10209;Quality Great epee +25 - Charge Forth;6020300;10500;25;
10215;Quality Short Spear +25 - Charge Forth;16000300;10500;25;
10216;Quality Lance +25 - Charge Forth;17060300;10500;25;
10217;Quality Halberd +25 - Charge Forth;18000300;10500;25;
10252;Heavy Bastard Sword +25 - Stamp (Upward Cut);3000100;10600;25;
